순번,카테고리,질문,답변
72,서비스 & 보증,BMW 프리미엄 셀렉션 보증은 무엇입니까?,"BMW 인증 중고차는 5년, 그리고 10만km 이내의 차량에 한해 (전기차/M 차량 제외) 1년, 혹은 2만km BMW 프리미엄 셀렉션 보증을 포함합니다. 사용자 설명서의 사용지침에 따라 정상적으로 관리/사용한 경우에 한하여 차량 운행과 안전에 직접적인 영향을 미치는 고장이 기술적 분석을 통해 밝혀진 경우 무상으로 ..."
73,서비스 & 보증,"문제가 발생했을 때 BMW는 ""Proactive Care""를 통해 어떻게 도움을 줍니까?","차량은 자체적으로 서비스 요구사항 또는 문제를 감지하고 이를 고객님 및 BMW 공식 서비스 센터에게 알립니다. ""Proactive Care""를 사용하면 필요에 따라 My BMW 앱의 푸시 알림, 차량 내 메시지로 도움이 되는 방법에 대한 지침과 함께 주의 사항을 받거나, BMW 사고 및 긴급출동 서비스 또는 선호하는..."
74,디지털 & 커넥티드 서비스,BMW Driver's Guide 앱을 통해 내 BMW의 서비스 및 정비 필요성에 대한 정보를 확인할 수 있습니까?,아니오. BMW Driver's Guide 앱은 고객님의 BMW 상태에 데이터를 동기화하지 않습니다. 고객님의 차량의 서비스 및 정비 필요성에 관한 정보를 확인하려면 My BMW 앱을 사용하십시오.
75,서비스 & 보증,"""Proactive Care""란 무엇입니까?","""Proactive Care""는 BMW에서의 모든 서비스 및 정비 서비스에 대한 서비스 서약입니다. 차량은 자체적으로 서비스 요구사항 또는 문제를 감지하고 이를 고객님 및 BMW 서비스 센터에게 알립니다. 고객님은 필요에 따라 My BMW 앱에서 자체 해결에 대한 설명서가 있는 주의 사항을 푸시 알림으로, 차량 내 ..."
76,서비스 & 보증,Proactive Care는 어떤 장점을 제공합니까?,Proactive Care는 BMW의 모든 서비스 및 정비 서비스에 대한 서비스 약속이며 고객님의 BMW ConnectedDrive 계약의 서비스 범위에 추가 비용 없이 포함되어 있습니다. 차량은 서비스 요구사항이나 문제를 자체적으로 감지하여 이를 선호하는 통신 채널을 통해 고객님에게 알리며 고객님의 BMW 서비스...
77,전기차 & 충전,내 BMW 전기 자동차 또는 플러그인 하이브리드 전기 자동차의 고전압 배터리에 대해 보증이 연장됩니까?,"품질보증서에 설명된 서비스 외에도 고객님의 BMW 전기 자동차 또는 플러그인 하이브리드 전기 자동차에 대해 고전압 배터리에 최대 주행 거리 160,000km의 보증 연장이 제공됩니다. BMW 전기 자동차(2019년 8월 이후 생산): 8년 / 160,000km BMW 플러그인 하이브리드 전기 자동차: 6년 / 1..."
78,서비스 & 보증,BMW 액세서리 스토어의 제품에 대한 보증을 받을 수 있습니까?,BMW 순정 액세서리는 기본적으로 2년 보증이 제공됩니다. 선택한 BMW 공식 서비스 센터에서 BMW 액세서리 스토어 에 있는 제품을 구매합니다. 보증 청구는 BMW 공식 서비스 센터의 일반 약관이 적용됩니다.
79,서비스 & 보증,BMW Value 부품 & 패키지 제품군의 제품에 BMW Store의 부품과 동일한 보증이 적용됩니까?,"네, BMW Value Parts & Packages 제품군의 제품은 BMW 순정 부품이므로 BMW Store 의 부품과 동일한 보증이 적용됩니다."
80,서비스 & 보증,BMW 신차를 온라인으로 구매하는 경우 보증이 제공됩니까?,"BMW 신차를 온라인으로 구입하는 경우, BMW 공식 딜러사는 현장 구매와 동일한 보증을 제공합니다. BMW 공식 딜러사의 일반 이용약관이 적용됩니다."
81,서비스 & 보증,BMW 보증 기간은 얼마입니까?,"BMW 중고차의 보증 범위 및 기간은 차량마다 다를 수 있습니다. BMW 프리미엄 셀렉션 차량에는 모든 기계식 및 전자 제어식 부품에 1년 2만km의 BMW 프리미엄 샐렉션 보증이 적용됩니다 (단, 보증 조건에 따름). 해당 기간 동안 사용자 설명서의 사용지침에 따라 정상적으로 관리/사용한 경우에 한하여 차량 운..."
82,서비스 & 보증,BMW Store에서 구매한 제품에 대해 보증을 받을 수 있습니까?,BMW 순정 액세서리를 구입한 경우 기본적으로 보증을 요청할 권한이 주어집니다. 선택한 BMW 공식 서비스 센터에서 BMW 액세서리 스토어 에 있는 제품을 구매합니다. 보증 요청에는 BMW 공식 서비스 센터의 일반 약관이 적용됩니다.
83,서비스 & 보증,보증 요청의 제한 없이 BMW 순정 액세서리를 직접 설치할 수 있습니까?,BMW 액세서리 스토어 에서 BMW 순정 액세서리를 구입한 경우 직접 설치한 경우에도 보증을 청구할 수 있습니다. 취급 및 조립 설명서에 유의하십시오. 보증 요청에는 BMW 공식 서비스 센터의 일반 약관이 적용됩니다.
84,서비스 & 보증,BMW 공식 인증 중고차에도 보증 상품이 있나요?,"BMW 공식 인증 중고차에서는 5년/10만km 미만 차량에 한해 1년 2만km 보증 수리기간을 제공하고 있습니다. BMW BEV, M 그리고 위탁 판매 차량은 제외되며 수리 대상과 조건은 보증서 참고 부탁 드립니다."
85,서비스 & 보증,오리지널 BMW 르망 부품은 무엇입니까?,오리지널 BMW 르망 부품은 재제조된 오리지널 BMW 부품입니다. 오리지널 BMW 부품의 모든 컴포넌트 대부분 재사용됩니다. 오리지널 BMW 르망 부품은 오리지널 BMW 새 부품과 동일한 품질 지침이 적용됩니다. 보증 또한 오리지널 BMW 새 부품과 동일합니다.
86,서비스 & 보증,BMW Service Inclusive는 어떤 장점이 있습니까?,BMW Service Inclusive를 이용하면 정해진 금액을 한 번 지불하고 선택한 기간 또는 주행 거리 내에서 패키지의 모든 서비스 역량에 대한 혜택을 받을 수 있습니다. 비용을 투명하고 계획적으로 관리하는 것 외에도 가격 상승으로부터 보호받을 수 있습니다.
87,서비스 & 보증,BMW 신차의 경우 BMW Service Inclusive 패키지 기간은 언제 시작됩니까?,BMW 신차의 경우 BMW Service Inclusive 패키지 기간은 항상 보증 시작 날짜와 함께 시작합니다. 이는 BMW ConnectedDrive 스토어 에서 BMW Service Inclusive 패키지를 구입한 경우에도 적용됩니다.
88,구매 & 리스,BMW Diplomatic Sales 프로그램을 이용하여 BMW 신차를 구입할 경우 어떤 혜택이 있습니까?,"해당 프로그램을 이용하여 신차를 구입할 경우, 국내에 주둔하는 외교관에게 제공되는 할인, 전문 컨설턴트의 지원, 국제 보증 적용 또는 공식 문서 발행 등의 혜택을 받으실 수 있습니다."
89,구매 & 리스,해당 프로그램을 이용하여 신차를 구입할 경우 어떤 혜택이 있습니까?,"해당 프로그램을 이용하여 신차를 구입할 경우, 국내에 주둔하는 미합중국 군인에게 제공되는 할인, 부가세 면제, 전문 컨설턴트의 지원, 국제 보증 적용 또는 공식 문서 발행 등의 혜택을 받으실 수 있습니다."
90,서비스 & 보증,오리지널 BMW 르망 부품은 어떤 장점이 있습니까?,오리지널 BMW 르망 부품은 BMW 품질을 그대로 제공하며 오리지널 BMW 새 부품의 모든 장점을 가지고 있습니다. 보증 또한 오리지널 BMW 새 부품과 동일합니다. 오리지널 BMW 르망 부품은 일반적으로 새 부품보다 최대 30% 저렴합니다.
91,서비스 & 보증,BMW Service Inclusive 패키지의 혜택은 언제 종료됩니까?,"1. 일반 모델 Warranty 적용 기간 - 차체 & 일반 부품 : 2년 / 주행거리 제한 없음 - 엔진 & 동력 전달 계통 주요 부품 : 3년/6만km까지 보증 적용 - 배출가스 관련 주요 부품: 5년/8만km (단, 정화용 촉매, 매연포집필터, 전자제어장치 (엔진컨트롤 유닛만 적용), 선택적 환원 촉매는 ..."
92,디지털 & 커넥티드 서비스,My BMW 앱 및 내 차량에서 Operating System 7을 탑재한 내 BMW의 주행 데이터 표시를 어떻게 활성화하거나 비활성화합니까?,Operating System 7을 탑재한 BMW에서는 위치 또는 충전상태와 같은 주행 데이터 표시를 차량에서 직접 또는 My BMW 앱에서 활성화 및 비활성화할 수 있습니다.
93,내비게이션 & 지도,내 BMW에서 목적지를 어떻게 입력할 수 있습니까?,"BMW 차량이 출고된 국가, 제조일자 및 사양에 따라 음성을 통해 또는 BMW iDrive 운영 체제에서 목적지를 입력할 수 있습니다. 음성입력을 하려면 스티어링 휠에 있는 마이크 버튼을 누르거나 호출어 ""Hey BMW""로 BMW 인텔리전트 퍼스널 어시스턴트를 활성화하고 원하는 목적지를 한 문장으로 말하십시오."
94,내비게이션 & 지도,"Operating System 9을 탑재한 내 BMW에서 ""프로액티브 내비게이션""을 어떻게 활성화하거나 비활성화합니까?","고객님의 BMW의 BMW Maps는 프로액티브 내비게이션을 통해 고객님의 습관을 학습하고 다음에 운전해서 갈 확률이 높은 목적지를 예측합니다. 이렇게 하면 모든 일상적인 주행, 특히 출퇴근 시에 목적지를 다시 입력하지 않아도 됩니다."
95,내비게이션 & 지도,"내 BMW의 ""프로액티브 내비게이션""은 어떤 이점을 제공합니까?",BMW 오퍼레이팅 시스템 8 이상이 탑재된 BMW의 BMW Maps는 프로액티브 내비게이션을 통해 고객님의 주행 습관을 학습하고 다음에 운전해서 갈 확률이 높은 목적지를 자동으로 추천합니다. 특히 출퇴근 시 시간을 절약할 수 있습니다.
96,내비게이션 & 지도,내 BMW에서 증강 현실 뷰를 사용할 수 있습니까?,"내비게이션 시스템의 보기 버전 ""증강 현실 뷰""는 BMW 오퍼레이팅 시스템 8, BMW 오퍼레이팅 시스템 8.5 또는 BMW 오퍼레이팅 시스템 9과 출고 시 선택사양 ""BMW Live Cockpit Professional""(SA 6U3)을 탑재한 BMW 차량에서 사용할 수 있습니다."
97,내비게이션 & 지도,BMW에서 Apple CarPlay 내비게이션을 어떻게 사용합니까?,"BMW 오퍼레이팅 시스템 7을 탑재한 BMW에서 Apple CarPlay 내비게이션을 사용하려면 Apple CarPlay를 시작하고 다음 순서로 선택하십시오. ""내비게이션"" > ""CarPlay 지도""."
98,내비게이션 & 지도,BMW 내비게이션 시스템에서 목적지의 GPS 좌표를 입력할 수 있습니까?,"예 BMW Live Cockpit과 BMW BMW 오퍼레이팅 시스템 7(2020년 7월 이후 버전)을 탑재한 BMW의 경우 검색창에 목적지에 대한 GPS 좌표를 입력할 수 있습니다. 또는 ""내비게이션 > ""GPS 좌표""를 순서대로 선택하십시오."
99,내비게이션 & 지도,내 BMW에서 차량 Android 내비게이션을 어떻게 사용합니까?,"BMW 오퍼레이팅 시스템 7을 탑재한 BMW에서 차량 Android 내비게이션을 사용하려면 차량 Android를 시작하고 다음 순서로 선택하십시오. ""내비게이션"" > ""차량 Android""."
100,내비게이션 & 지도,내 BMW의 내비게이션 시스템에서 최근 목적지는 어디에서 찾을 수 있습니까?,"BMW 오퍼레이팅 시스템 7을 탑재한 BMW의 경우 ""내비게이션"" > ""내 목적지"" > ""최근 목적지""에서 최근 목적지 목록을 찾을 수 있습니다."
101,내비게이션 & 지도,"왜 BMW 오퍼레이팅 시스템 9을 탑재한 내 BMW의 ""프로액티브 내비게이션""에서 학습된 목적지가 표시되지 않습니까?","BMW Maps의 ""프로액티브 내비게이션""의 학습된 목적지가 BMW에서 표시되지 않으면, 이는 고객님의 어떠한 목적지도 아직 학습되지 않은 것일 수 있습니다. 목적지를 학습하려면 고객님의 자동차에 로그인된 BMW ID에 대해 동일하면서 연속되는 도착 및 출발이 최소 두 개는 있어야 합니다."
102,내비게이션 & 지도,내 BMW의 내비게이션 시스템에서 저장된 모든 목적지를 어떻게 삭제합니까?,"BMW 오퍼레이팅 시스템 7이 탑재된 BMW의 내비게이션 시스템에서 저장된 모든 내비게이션 목적지를 삭제하려면 다음과 같이 선택하십시오. ""내비게이션"" > ""내 목적지""로 이동한 다음 한 항목을 선택하십시오."
103,전기차 & 충전,내 BMW 전기 자동차 또는 플러그인 하이브리드 전기 자동차가 히트 목록에서 충전소를 검색할 때 AC 충전소가 표시되지 않거나 일부만 표시되는 이유는 무엇입니까?,내 BMW 전기 자동차 또는 플러그인 하이브리드 전기 자동차가 충전소를 검색할 때 AC 충전소가 표시되지 않으면 먼저 검색 기능에 대한 필터 설정을 확인하십시오.
104,내비게이션 & 지도,경로안내를 위해 내 BMW로 전송된 목적지를 내비게이션 시스템에 어떻게 적용합니까?,"경로안내를 위해 BMW 오퍼레이팅 시스템 7을 탑재한 BMW로 전송된 목적지를 내비게이션 시스템에 적용하려면(예: My BMW 앱에서) 다음 순서로 선택하십시오. ""NAV"" > ""추천 목적지""."
105,내비게이션 & 지도,내 BMW의 내비게이션 시스템에서 관심목적지를 어떻게 검색할 수 있습니까?,"BMW의 내비게이션 시스템에는 주소와 관심목적지 입력을 위한 빠른 검색 기능이 있습니다. BMW 오퍼레이팅 시스템 7을 탑재한 BMW의 BMW iDrive 운영 체제에서 다음 순서로 선택하십시오. ""내비게이션"" > ""빠른 검색""."
106,내비게이션 & 지도,경로 중 중간 충전 정지를 계획할 때 BMW Maps는 어떤 도움을 주나요?,"BMW 전기 자동차 또는 플러그인 하이브리드 전기 자동차의 경우 주행하는 동안 주행 스타일, 구간 프로파일 및 외부 온도를 고려하여 계획된 경로에서 주행 가능 거리를 지속적으로 보여 줍니다."
107,내비게이션 & 지도,"BMW iDrive와 BMW 오퍼레이팅 시스템 8을 탑재한 내 차량의 내비게이션 시스템에서 BMW Maps의 ""적응식"" 디스플레이 모드는 무엇을 의미합니까?","BMW Maps는 학습된 목적지와 운전자의 습관을 사용하여 목적지를 자동으로 인식하고 ""적응식"" 모드에서는 예를 들어 장거리 주행 시 쉴 수 있는 휴게소나 목적지 주변의 주차 공간 또는 충전소와 같이 각 주행상황에 맞게 조정된 경로를 따라 관심목적지를 표시합니다."
108,내비게이션 & 지도,내비게이션 지도의 업데이트가 진행되는 중에 내 BMW에서 BMW 내비게이션 시스템을 제한 없이 사용할 수 있습니까?,예 BMW의 내비게이션 시스템은 지도 자료의 자동 또는 수동 업데이트 중에도 제한 없이 그대로 작동합니다. 지도 업데이트 중에는 내비게이션 지도에 다운로드 아이콘이 표시됩니다.
109,내비게이션 & 지도,BMW에서 내비게이션 목적지에 대한 빠른 검색은 어떻게 이루어집니까?,검색 결과를 얻으려면 BMW BMW 오퍼레이팅 시스템 7을 탑재한 BMW에서 내비게이션 목적지에 대한 빠른 검색란에 최소 3자를 입력해야 합니다.
110,내비게이션 & 지도,"BMW iDrive와 BMW 오퍼레이팅 시스템 8을 탑재한 차량에서 BMW Maps의 ""적응식"", ""축소형"" 및 ""확장형"" 디스플레이는 어떻게 다릅니까?",BMW Maps의 전체 화면 탐색에서 사용자는 세 가지 다른 보기를 사용할 수 있으며 각 보기는 컨트롤 디스플레이에 서로 다른 양의 지도 정보를 표시합니다.
111,내비게이션 & 지도,Apple CarPlay를 사용하는 도중 내 BMW의 컨트롤 디스플레이에서 증강 현실 뷰를 사용할 수 있습니까?,"아니오. BMW 오퍼레이팅 시스템 8을 탑재한 BMW의 내비게이션 시스템에 있는 보기 버전 ""증강 현실 뷰""는 차량 앞 주변의 실시간 카메라 영상과 내비게이션 데이터와 지침을 결합시킵니다. 증강 현실 뷰는 Apple CarPlay 사용 도중에는 사용할 수 없습니다."
